Fecha,Matrícula,Intersección,Infracción,Valor en UR,Multas
2016-12-17,AAO 5511,Av. Italia y Mataojo,Cruzar o girar con luz roja,5,1
2016-12-23,AAO 5875,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-21,AAO 6369,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-14,AAO 6782,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-20,AAO 7001,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-10,AAO 7041,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-17,AAO 7375,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-14,AAO 7496,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-24,AAO 7653,R Rep Argentina y Carlos M Morales,Exceso de velocidad,8,1
2016-12-19,AAO 7656,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-19,AAO 7672,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-23,AAO 7745,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
